ws_id,dem_min,dem_max,dem_mean,dem_std,dem_median,acc_min,acc_max,acc_mean,acc_std,acc_median
169,244.0,1741.0,596.1842197957027,292.29486302482866,506.0,1.0,5507.0,51.1546319126453,318.2705037836494,3.0
170,260.0,3390.0,1206.9171329511516,664.1017958266457,1091.0,1.0,14198.0,100.7926607394185,777.5612640821374,3.0
171,135.0,2120.0,673.0783417935702,544.0093013176272,414.0,1.0,3257.0,50.04010152284264,295.8732921215645,2.0
172,147.0,2331.0,705.5330440350003,425.8316910171868,555.0,1.0,8026.0,88.47065518958526,575.8232791010901,2.0
173,261.0,2197.0,818.4069036883732,362.644578104336,795.0,1.0,9965.0,83.00236528937837,679.0883487684741,3.0
174,205.0,1642.0,706.3267998975148,300.8571083727271,669.0,1.0,5203.0,50.93543428132206,371.23966585320954,3.0
175,214.0,1665.0,638.9520480225989,320.2791392028483,534.5,1.0,8115.0,65.40699152542373,494.40653714988673,3.0
176,189.0,2127.0,513.1275161501732,292.17644854257395,427.0,1.0,3692.0,53.88493586742814,297.86643519947353,2.0
177,190.0,1999.0,546.031908365719,351.6341357484054,403.0,1.0,106826.0,924.297811413377,9464.961324478689,3.0
178,117.0,1647.0,652.8637225381956,387.59451884284704,596.0,1.0,601909.0,3502.8622727779634,45541.88986673431,3.0
179,93.0,2057.0,546.6862521948365,392.0371638719734,431.0,1.0,1283229.0,9473.246016778305,108892.46028469269,3.0
180,168.0,1742.0,531.322063538327,288.0702111499287,456.0,1.0,5271.0,61.112357913144855,399.2777340216498,3.0
181,173.0,1573.0,502.03433363910364,292.88900223912185,382.0,1.0,8988.0,76.36450006552221,505.8717940362463,2.0
182,254.0,2400.0,1039.7959907223326,519.9016199856601,932.0,1.0,18868.0,104.99410205434063,894.3755317247065,3.0
183,293.0,2161.0,1051.0268791627022,472.33304481502034,1050.0,1.0,10900.0,90.18101807802093,677.1361084500888,3.0
184,152.0,2536.0,1139.5520711332074,491.25129854328003,1129.0,1.0,37426.0,149.11456366374262,1406.7738756091055,3.0
185,209.0,1819.0,565.2617408409146,287.24742398480237,470.0,1.0,2713.0,44.78005901155643,232.09187511821756,2.0
186,282.0,2801.0,1242.8099978359662,634.2609801569064,1206.0,1.0,8278.0,102.50670850465268,705.416659194437,3.0
